ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-24 12:25:37.339988,-57.31681821179709,-66.63244868101529,-47.531980103872726,-57.31681821179709,-57.31681821179709,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681821179709
2024-06-24 12:25:37.340462,-57.31681820704783,-67.06514362537006,-48.151538395082696,-57.31681820704783,-57.31681820704783,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681820704783
2024-06-24 12:35:53.126738,-57.31064832495128,-66.78398749499999,-47.95966363701776,-57.31064832495128,-57.31064832495128,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064832495128
2024-06-24 12:35:53.129294,-57.310648299341395,-67.07500153263575,-47.82288925306794,-57.310648299341395,-57.310648299341395,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648299341395
2024-06-24 12:35:53.129991,-57.31064829235779,-67.00104124119412,-48.223207938484464,-57.31064829235779,-57.31064829235779,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064829235779
2024-06-24 12:35:53.130567,-57.31064828658654,-66.77650767264866,-48.37765442701254,-57.31064828658654,-57.31064828658654,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064828658654
2024-06-24 12:35:53.131005,-57.310648282197995,-66.77066315585336,-47.49202715850041,-57.310648282197995,-57.310648282197995,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648282197995
2024-06-24 12:35:53.131425,-57.3106482779898,-66.70282433137756,-48.11774476105785,-57.3106482779898,-57.3106482779898,0.0,0.0,0.0,0.0,0.0,0.0,-57.3106482779898
2024-06-24 12:35:53.131979,-57.31064827243898,-66.6146094545826,-47.86504748582393,-57.31064827243898,-57.31064827243898,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064827243898
2024-06-24 12:35:53.132475,-57.3106482674693,-66.13833486920316,-47.866489929600704,-57.3106482674693,-57.3106482674693,0.0,0.0,0.0,0.0,0.0,0.0,-57.3106482674693
2024-06-24 12:35:53.132969,-57.31064826251966,-66.05778357089292,-47.59635345431249,-57.31064826251966,-57.31064826251966,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064826251966
2024-06-24 12:35:53.133489,-57.31064825730951,-66.49864392800171,-47.81935731722271,-57.31064825730951,-57.31064825730951,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064825730951
2024-06-24 12:35:53.134065,-57.31064825153827,-66.26460081854144,-48.504346158282765,-57.31064825153827,-57.31064825153827,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064825153827
2024-06-24 12:35:53.134615,-57.31064824602753,-66.37011942937615,-47.810627604032874,-57.31064824602753,-57.31064824602753,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064824602753
2024-06-24 12:35:53.135155,-57.31064824061699,-66.58274976888035,-47.599827782564255,-57.31064824061699,-57.31064824061699,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064824061699
2024-06-24 12:35:53.135685,-57.310648235306644,-66.67363346472965,-47.804926857133566,-57.310648235306644,-57.310648235306644,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648235306644
2024-06-24 12:35:53.136218,-57.31064822996624,-66.6512435437571,-48.13584775966557,-57.31064822996624,-57.31064822996624,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064822996624
2024-06-24 12:35:53.136745,-57.310648224685956,-66.34926125821214,-47.84861087589565,-57.310648224685956,-57.310648224685956,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648224685956
2024-06-24 12:35:53.138589,-57.31064820620996,-66.86001829519068,-46.981468412249285,-57.31064820620996,-57.31064820620996,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064820620996
2024-06-24 12:35:53.139594,-57.31064819614035,-66.70449616018749,-47.64133054137589,-57.31064819614035,-57.31064819614035,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064819614035
2024-06-24 12:35:53.140113,-57.31064819094021,-66.52853172094835,-48.409128303309046,-57.31064819094021,-57.31064819094021,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064819094021
2024-06-24 12:35:53.140560,-57.31064818646149,-67.2866908589482,-48.117607517829605,-57.31064818646149,-57.31064818646149,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064818646149
2024-06-24 12:35:53.141069,-57.31064818136156,-66.90213841405453,-47.91272658596191,-57.31064818136156,-57.31064818136156,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064818136156
2024-06-24 12:35:53.141578,-57.31064817626162,-67.00461784260891,-47.55489215855737,-57.31064817626162,-57.31064817626162,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064817626162
2024-06-24 12:35:53.142008,-57.31064817195323,-67.16823059946526,-47.973786232985766,-57.31064817195323,-57.31064817195323,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064817195323
2024-06-24 12:35:53.142413,-57.31064816789532,-66.58165945415736,-48.753356241548985,-57.31064816789532,-57.31064816789532,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064816789532
2024-06-24 12:35:53.142816,-57.31064816385746,-66.92250677764156,-47.64935550136896,-57.31064816385746,-57.31064816385746,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064816385746
2024-06-24 12:35:53.143217,-57.31064815983963,-66.90885983455858,-47.82665127073918,-57.31064815983963,-57.31064815983963,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064815983963
2024-06-24 12:35:53.143718,-57.31064815481985,-67.21131068012961,-47.83029516311804,-57.31064815481985,-57.31064815481985,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064815481985
2024-06-24 12:35:53.144155,-57.310648150441324,-66.7514108118586,-47.907338834809906,-57.310648150441324,-57.310648150441324,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648150441324
2024-06-24 12:35:53.144642,-57.31064814556182,-66.61800177432218,-47.87339740626782,-57.31064814556182,-57.31064814556182,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064814556182
2024-06-24 12:35:53.145128,-57.310648140692344,-66.8782875033947,-48.40167674263456,-57.310648140692344,-57.310648140692344,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648140692344
2024-06-24 12:35:53.145613,-57.31064813583288,-66.97514118304953,-47.869029379749875,-57.31064813583288,-57.31064813583288,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064813583288
2024-06-24 12:35:53.146153,-57.31064813042235,-66.58425216546672,-48.57971341147952,-57.31064813042235,-57.31064813042235,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064813042235
2024-06-24 12:35:53.146683,-57.31064812511201,-66.9486317949624,-47.69785994201868,-57.31064812511201,-57.31064812511201,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064812511201
2024-06-24 12:35:53.147147,-57.31064812046296,-66.42141217732707,-47.958964249605664,-57.31064812046296,-57.31064812046296,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064812046296
2024-06-24 12:35:53.147555,-57.310648116375006,-66.1481414037427,-47.57620109899193,-57.310648116375006,-57.310648116375006,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648116375006
2024-06-24 12:35:53.147961,-57.310648112307085,-66.67808525851834,-47.54451943466418,-57.310648112307085,-57.310648112307085,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648112307085
2024-06-24 12:35:53.148435,-57.31064810755784,-66.74684782126783,-48.37298025354082,-57.31064810755784,-57.31064810755784,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064810755784
2024-06-24 12:35:53.148833,-57.31064810357008,-67.54053280088101,-47.378590592221,-57.31064810357008,-57.31064810357008,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064810357008
2024-06-24 12:35:53.149245,-57.31064809944205,-66.32636291877463,-47.40300965736231,-57.31064809944205,-57.31064809944205,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064809944205
2024-06-24 12:35:53.149675,-57.31064809513366,-66.41399087428586,-48.24015259738733,-57.31064809513366,-57.31064809513366,0.0,0.0,0.0,0.0,0.0,0.0,-57.31064809513366
2024-06-24 12:35:53.150087,-57.310648091005625,-66.6199558457402,-48.11239069311074,-57.310648091005625,-57.310648091005625,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648091005625
2024-06-24 12:35:53.150484,-57.310648087027886,-67.52956598708491,-47.9095540459862,-57.310648087027886,-57.310648087027886,0.0,0.0,0.0,0.0,0.0,0.0,-57.310648087027886
2024-06-24 12:46:08.920868,-57.30447837389177,-67.07493266151268,-48.124988314003836,-57.30447837389177,-57.30447837389177,0.0,0.0,0.0,0.0,0.0,0.0,-57.30447837389177
